Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
gRPC,gRPC ListMusics,6479,0,15,24.42346306528766,4.43859999995766,210.2839999997741,190401.0,109.38064190587205,0.0,15,24,32,37,52,72,94,110,190,210,210
gRPC,gRPC ListPlaylists,3931,0,10,18.174615390486615,2.740300000368734,183.99390000013227,87633.0,66.36445490538401,0.0,10,16,22,27,42,59,85,100,170,180,180
gRPC,gRPC ListUsers,2644,0,6,13.896624243567002,1.702800000202842,178.19820000022446,24809.0,44.63689106330077,0.0,6,10,16,20,33,50,82,100,160,180,180
,Aggregated,13054,0,12,20.409583637198743,1.702800000202842,210.2839999997741,125914.53945150912,220.38198787455684,0.0,12,19,26,31,46,64,89,110,180,200,210
