Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /musicas,6443,0,24,41.09378201148726,4.711300000053598,265.2191999995921,319422.0,108.70103615347645,0.0,24,40,55,66,100,130,160,180,230,270,270
GET,GET /playlists,3743,0,17,33.113916697827435,3.0948000003263587,233.64949999995588,173714.0,63.14884034183802,0.0,17,31,43,53,89,120,140,160,230,230,230
GET,GET /usuarios,2683,0,11,26.841300708154296,1.9603999999162625,234.87759999989066,47830.0,45.265385689861446,0.0,11,22,35,44,76,100,140,160,220,230,230
,Aggregated,12869,0,19,35.801370541608314,1.9603999999162625,265.2191999995921,220419.25075763464,217.1152621851759,0.0,19,34,47,57,93,120,150,170,230,240,270
