Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /musicas,2185,0,17,22.79777203661927,5.051600000115286,154.6886000005543,319422.0,36.841802609748584,0.0,17,21,26,29,45,57,77,93,120,150,150
GET,GET /playlists,1340,0,12,16.658019402979363,3.6702999996123253,129.22699999944598,173714.0,22.59405743572682,0.0,12,15,18,21,33,46,64,80,110,130,130
GET,GET /usuarios,857,0,8,10.877608634758767,2.1050000004834146,89.61330000056478,47830.0,14.450080016729766,0.0,8,9,11,13,21,33,49,60,90,90,90
,Aggregated,4382,0,14,18.588997832038732,2.1050000004834146,154.6886000005543,221749.00502053858,73.88594006220518,0.0,14,18,21,24,37,51,69,82,120,150,150
