Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /musicas,1098,0,8,12.835511659316122,5.733099998906255,326.00619993172586,538905.0,18.512271460255786,0.0,8,8,9,10,12,17,23,310,320,330,330
GET,GET /playlists,644,0,3,5.1432031066509785,2.589500043541193,312.02279997523874,173645.0,10.857834991261136,0.0,3,4,4,4,6,12,15,16,310,310,310
GET,GET /usuarios,461,0,2,2.9608737548546555,1.5934999100863934,36.458499962463975,47571.0,7.772456414551837,0.0,2,2,3,3,4,10,12,13,36,36,36
GET,[setup] GET /musicas,50,0,32,31.20073600206524,11.43059995956719,53.33639995660633,538905.0,0.842999611122759,0.0,34,39,41,42,46,48,53,53,53,53,53
GET,[setup] GET /playlists,50,0,15,16.11260199919343,8.207599981687963,26.570299989543855,173645.0,0.842999611122759,0.0,15,19,20,21,22,25,27,27,27,27,27
GET,[setup] GET /usuarios,50,0,7,9.033134011551738,2.273100079037249,24.946099962107837,47571.0,0.842999611122759,0.0,7,10,11,14,20,23,25,25,25,25,25
,Aggregated,2353,0,7,9.174628561088333,1.5934999100863934,326.00619993172586,324471.46238844027,39.671561699437035,0.0,7,7,8,9,12,18,30,43,320,330,330
