Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /musicas,780,0,6,6.843620769233474,4.444200001671561,29.75479999986419,320135.0,13.151415152584926,0.0,6,6,6,7,8,18,23,24,30,30,30
GET,GET /playlists,506,0,4,4.592488142230945,3.061699999307166,21.249899999020272,173858.0,8.531559060523042,0.0,4,4,4,5,6,10,16,18,21,21,21
GET,GET /usuarios,320,0,2,3.189078437532089,1.8376000007265247,18.72910000020056,47889.0,5.395452370291252,0.0,2,3,3,3,4,11,12,14,19,19,19
,Aggregated,1606,0,5,5.4061820049696365,1.8376000007265247,29.75479999986419,219801.94769613948,27.07842658339922,0.0,5,5,6,6,7,12,20,22,27,30,30
