Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
gRPC,CreateMusic,148,0,3,9.070503379130182,2.0127000752836466,464.1730999574065,0.0,2.5332385909371133,0.0,3,3,3,3,4,5,8,460,460,460,460
gRPC,GetMusic,502,0,2,1.9666776875037686,1.2038999702781439,20.178999984636903,0.0,8.592471436827235,0.0,2,2,2,2,3,4,5,7,20,20,20
gRPC,GetUser,92,0,2,2.0827586982783903,1.2322000693529844,10.726899956353009,0.0,1.5747158808528003,0.0,2,2,2,2,4,4,6,11,11,11,11
gRPC,ListMusics,601,0,3,4.537102329535426,2.4126999778673053,465.095299994573,0.0,10.287002656440576,0.0,3,4,4,4,5,6,8,9,470,470,470
gRPC,ListPlaylistMusics,415,0,2,1.9941395162660853,1.289399922825396,9.769299998879433,0.0,7.103337940803392,0.0,2,2,2,2,3,4,5,7,10,10,10
gRPC,ListPlaylists,247,0,2,4.0929255114400735,1.559099997393787,464.58760008681566,0.0,4.227769810550453,0.0,2,2,2,2,3,4,5,8,460,460,460
gRPC,ListUsers,160,0,2,4.8942037486995105,1.4276999281719327,462.1095999609679,0.0,2.7386363145266093,0.0,2,2,2,2,3,3,4,8,460,460,460
,Aggregated,2165,0,2,3.634970946835384,1.2038999702781439,465.095299994573,0.0,37.05717263093818,0.0,2,3,3,3,4,5,6,8,460,470,470
