Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /musicas,1169,0,10,12.209436442233763,7.021999917924404,352.4657000089064,538904.0,19.705080304286376,0.0,10,11,12,12,13,15,18,74,350,350,350
GET,GET /playlists,696,0,4,7.185730747289784,3.0619000317528844,280.3734000772238,173644.0,11.732023859523796,0.0,4,5,5,5,7,8,55,61,280,280,280
GET,GET /usuarios,486,0,3,4.251442389484158,1.9339999416843057,283.69240008760244,47570.0,8.19218907432265,0.0,3,3,3,3,4,4,8,51,280,280,280
GET,[setup] GET /musicas,50,0,390,369.93827799800783,79.8032000893727,578.3317000605166,538904.0,0.8428178060002727,0.0,400,450,470,490,550,570,580,580,580,580,580
GET,[setup] GET /playlists,50,0,170,183.42065401608124,58.67749999742955,392.6259999861941,173644.0,0.8428178060002727,0.0,170,200,210,220,290,360,390,390,390,390,390
GET,[setup] GET /usuarios,50,0,92,99.4738920009695,44.84380001667887,317.6491999765858,47570.0,0.8428178060002727,0.0,93,100,110,120,170,200,320,320,320,320,320
,Aggregated,2501,0,8,21.584143143993277,1.9339999416843057,578.3317000605166,324654.106357457,42.15774665613364,0.0,8,10,11,11,14,96,280,390,570,580,580
