Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /musicas,2567,0,9,9.79651573847101,6.087100016884506,49.52209998737089,459863.91741332295,43.30773279448454,0.0,9,10,10,11,13,15,26,35,49,50,50
GET,GET /musicas/{id},1995,0,2,2.5321209524001898,1.2709000147879124,35.29220001655631,59.42205513784461,33.657548470976494,0.0,2,2,2,3,3,4,18,21,29,35,35
GET,GET /playlists,987,0,4,5.490148935446718,3.0360999808181077,48.00860001705587,174090.0,16.651629243535737,0.0,4,5,6,6,7,9,25,30,48,48,48
GET,GET /playlists/{id}/musicas,1588,0,3,3.4690638537313707,1.9253999926149845,40.924300003098324,1283.4508816120906,26.791071163864995,0.0,3,3,3,4,4,6,17,24,33,41,41
GET,GET /usuarios,645,0,3,3.377218294280487,1.7687999934423715,27.761200006352738,47754.0,10.88176379136834,0.0,3,3,3,4,4,6,19,23,28,28,28
GET,GET /usuarios/{id},312,0,2,2.3674310894141226,1.2824000150430948,28.36820000084117,47.76923076923077,5.263736903731662,0.0,2,2,3,3,3,4,4,17,28,28,28
POST,POST /musicas,658,0,3,4.233693920518554,2.217500004917383,31.089099997188896,51.0,11.101086162357158,0.0,3,4,4,4,5,8,23,26,31,31,31
,Aggregated,8752,0,3,5.3507315469737335,1.2709000147879124,49.52209998737089,158284.27388025593,147.65456853031893,0.0,3,6,7,8,10,13,21,27,46,50,50
