Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
gRPC,gRPC ListMusics,1144,0,12,16.038455504503172,10.176499956287444,174.97709998860955,290647.0,19.324613046201012,0.0,12,13,14,15,17,19,110,150,170,170,170
gRPC,gRPC ListPlaylists,731,0,5,7.569464022630033,3.7498000310733914,164.44419999606907,87563.0,12.348157462214107,0.0,5,5,5,6,7,8,110,140,160,160,160
gRPC,gRPC ListUsers,486,0,3,4.59975000243795,2.0613999804481864,149.80529993772507,24549.0,8.209582115781199,0.0,3,3,3,3,4,5,8,120,150,150,150
,Aggregated,2361,0,8,11.061732231630254,2.0613999804481864,174.97709998860955,172994.2969080898,39.882352624196315,0.0,8,12,12,13,15,17,95,140,170,170,170
