Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /musicas,20332,918,24,32.970683730082285,3.085099999225349,432.2068000001309,305683.27926421404,342.69882923213606,15.473024062320524,24,34,41,45,64,91,120,130,310,340,430
GET,GET /playlists,12323,581,18,28.056779534202573,2.545000001191511,362.8045999994356,165663.66095918202,207.70596461871003,9.792839847721377,18,28,35,39,57,85,110,130,320,350,360
GET,GET /usuarios,8347,392,13,22.43279131424262,1.5815000006114133,174.77269999835698,45642.63352102552,140.68990397406253,6.607217246655387,13,22,29,33,48,75,100,120,150,170,170
GET,[setup] GET /musicas,100,0,64,71.9779429999835,9.792900000320515,188.01349999921513,320136.0,1.685514603738619,0.0,64,80,94,100,130,150,180,190,190,190,190
GET,[setup] GET /playlists,100,0,48,53.187590000070486,10.474900000190246,116.24899999878835,173859.0,1.685514603738619,0.0,48,62,73,74,93,100,110,120,120,120,120
GET,[setup] GET /usuarios,100,0,37,41.942924999984825,4.363000000012107,100.5088000001706,47890.0,1.685514603738619,0.0,38,56,60,65,77,86,93,100,100,100,100
,Aggregated,41302,1891,21,29.53999783787711,1.5815000006114133,432.2068000001309,210444.85230739432,696.1512416361245,31.87308115669729,21,30,37,42,60,86,110,130,310,340,430
