Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
gRPC,gRPC ListMusics,6388,0,6,32.965153130860344,2.5296000003436347,4862.956500001019,190401.0,107.88532140821285,0.0,6,10,13,15,24,40,330,870,1200,4900,4900
gRPC,gRPC ListPlaylists,3965,0,5,28.359376973538268,1.8316000005142996,4863.892100000157,87633.0,66.96388531364495,0.0,5,8,11,12,19,34,310,690,4800,4900,4900
gRPC,gRPC ListUsers,2545,0,3,23.970006719041173,1.001100001303712,1213.3001999991393,24809.0,42.981863334987736,0.0,3,6,9,10,15,27,290,870,1200,1200,1200
,Aggregated,12898,0,5,29.774383237709333,1.001100001303712,4863.892100000157,126134.69824779035,217.83107005684553,0.0,5,9,11,13,20,36,320,830,1200,4900,4900
