Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,SOAP listarMusicas,2403,0,21,25.604881482649187,12.80989998485893,301.7906000604853,797940.0,40.57729782055022,0.0,21,22,23,24,26,28,42,240,300,300,300
POST,SOAP listarPlaylists,1390,0,8,13.006465828629116,5.097300047054887,281.3892000121996,269862.0,23.471678722665338,0.0,8,9,9,10,11,13,150,210,280,280,280
POST,SOAP listarUsuarios,921,0,4,6.860565252341209,2.328400034457445,245.1980001060292,74786.0,15.552097916240847,0.0,4,4,4,5,6,7,23,130,250,250,250
,Aggregated,4714,0,17,18.227852843022216,2.328400034457445,301.7906000604853,500941.0067882902,79.6010744594564,0.0,17,20,21,22,24,27,65,210,300,300,300
