Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,SOAP listarMusicas,2154,0,24,29.231019405752647,11.173300000336894,265.62769999964075,454636.0,36.364957980614506,0.0,24,28,31,34,45,61,92,140,260,270,270
POST,SOAP listarPlaylists,1264,0,16,19.70934873418317,7.286499999281659,246.2061000005633,269932.0,21.33951108983135,0.0,16,19,22,23,31,44,65,88,240,250,250
POST,SOAP listarUsuarios,922,0,8,11.067348806936579,3.065699999751814,103.71829999985493,75046.0,15.565687677867489,0.0,8,10,12,14,19,28,47,62,100,100,100
,Aggregated,4340,0,18,22.59915396313235,3.065699999751814,265.62769999964075,320201.0147465438,73.27015674831334,0.0,18,23,26,29,37,53,78,100,250,270,270
