Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
gRPC,gRPC ListMusics,2357,0,16,19.561099874169443,10.215500020422041,260.9408999560401,290647.0,39.8762608444519,0.0,16,18,19,20,22,25,79,190,260,260,260
gRPC,gRPC ListPlaylists,1457,0,6,9.423993960391748,3.7082000635564327,253.60399996861815,87563.0,24.649856618738404,0.0,6,7,7,7,9,11,18,170,250,250,250
gRPC,gRPC ListUsers,929,0,3,6.778696987630581,2.139699994586408,255.24159998167306,24549.0,15.717032806319821,0.0,3,3,4,4,5,7,50,170,260,260,260
,Aggregated,4743,0,11,13.94342844301433,2.139699994586408,260.9408999560401,176141.74383301707,80.24315026951012,0.0,11,13,16,17,20,22,67,180,250,260,260
