Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,SOAP listarMusicas,11545,0,18,19.907235937631555,7.406599999740138,76.36659999843687,455349.0,194.74149600937145,0.0,18,21,24,26,31,35,41,46,59,64,76
POST,SOAP listarPlaylists,6961,0,13,14.004159158190381,4.869399999734014,65.75330000123358,270076.0,117.41841088966953,0.0,13,15,17,18,22,26,30,35,51,66,66
POST,SOAP listarUsuarios,4551,0,8,8.656958382764236,2.354899999772897,44.78209999979299,75105.0,76.76643987342135,0.0,8,9,11,12,15,18,23,27,38,45,45
,Aggregated,23057,0,14,15.904489239713719,2.354899999772897,76.36659999843687,324361.6297003079,388.9263467724623,0.0,14,18,20,22,27,31,38,42,56,64,76
