Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /musicas,599,0,2,2.8769096846650286,1.3585000997409225,35.41479993145913,22575.98998330551,10.262014882483667,0.0,2,2,2,3,4,10,14,16,35,35,35
GET,GET /musicas/{id},486,0,2,2.9196707826920254,1.5734999906271696,20.967999938875437,59.742798353909464,8.32610890298341,0.0,2,2,2,3,4,10,12,15,21,21,21
GET,GET /playlists,230,0,2,2.68654130378981,1.2883000308647752,31.639300053939223,11208.0,3.9403396042925602,0.0,2,2,2,2,3,10,15,17,32,32,32
GET,GET /playlists/{id}/musicas,425,0,2,3.0367545879391185,1.7402999801561236,21.060299943201244,307.73411764705884,7.28106231227973,0.0,2,3,3,3,4,10,12,15,21,21,21
GET,GET /usuarios,155,0,2,2.4328664493476673,1.2234000023454428,19.538599997758865,4704.0,2.6554462550667255,0.0,2,2,2,2,4,10,11,12,20,20,20
GET,GET /usuarios/{id},95,0,2,2.900706316148372,1.6292999498546124,14.932900085113943,45.642105263157895,1.6275315756860576,0.0,2,2,3,3,4,10,13,15,15,15,15
POST,POST /musicas,167,0,3,4.3098838333442,2.649800037033856,50.18749996088445,51.0,2.861029190942859,0.0,3,3,4,4,5,9,17,34,50,50,50
,Aggregated,2157,0,2,2.977823876263293,1.2234000023454428,50.18749996088445,7882.546592489569,36.95353272373501,0.0,2,2,3,3,4,10,13,15,34,50,50
