Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /musicas,6490,0,7,15.621280000004354,2.786999999443651,348.8632000007783,319423.0,109.506240735845,0.0,7,11,17,22,31,39,52,310,320,350,350
GET,GET /playlists,4035,0,6,13.088574671608134,2.065200000288314,342.4491999994643,173715.0,68.08284766858776,0.0,6,9,14,20,28,36,47,61,330,340,340
GET,GET /usuarios,2647,0,4,9.971842689848318,1.1914999995497055,64.77600000107486,47831.0,44.66302299349487,0.0,4,8,14,19,27,34,40,45,62,65,65
,Aggregated,13172,0,6,13.71014072274483,1.1914999995497055,348.8632000007783,220209.83540844216,222.25211139792765,0.0,6,10,15,21,29,37,48,60,320,350,350
